Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3,Movie Budget,Revenue
#Homecoming,2021,90,"Drama, Musical",7.6,335,Soumyajit Majumdar,Sayani Gupta,Plabita Borthakur,Roy Angana,56,123
12 Bulbule,2021,,"Comedy, Drama, Family",8.9,3659,Jagat Joon,Sonu Sonkar,Sunita Verman,Anubhav Dixit,3,6
13 Tribute of Love,2020,66,Drama,5,352,Rahul Tiwari,Rahul Tiwari Adhiyari,Anil Arora,Asima Bhatt,0.3,1.5
1942: A Love Story,1994,157,"Action, Drama, History",7.2,3223,Vidhu Vinod Chopra,Anil Kapoor,Jackie Shroff,Manisha Koirala,4.75,3.49
1978: A Teen Night Out,2019,107,Thriller,4,20,Aziz Zee,Abuzar Akhtar,Apurva Godbole,Vaishnavi Kadam,0.8,0.02
7 Hours to Go,2016,115,"Crime, Thriller",5.7,398,Saurabh Varma,Sandeepa Dhar,Natasa Stankovic,Shiv Panditt,1,0.54
7 Islands and a Metro,2006,100,Documentary,6.2,10,Dutta Madhusree,Vibha Chhibber,Harish Khanna,Om Prakash,2.5,3.9
7 Khoon Maaf,2011,137,"Drama, Mystery, Thriller",6.1,5640,Vishal Bhardwaj,Priyanka Chopra Jonas,Vivaan Shah,Neil Nitin Mukesh,15,33
7 Saal Baad,1987,127,"Drama, Horror, Musical",4.1,34,S.U. Syed,Sharmila Tagore,Suresh Oberoi,Navin Nischol,1.28,2.3
A Rifle and a Bag,2020,89,Documentary,6.8,15,Cristina Hanes,Isabella Rinaldi,Arya Rothe,,4.5,3.8
A Scandall,2016,112,Thriller,3.1,142,Ishaan Trivedi,Johnny Baweja,Reeth Mazumder-Roberts,Manav Kaul,3,0.12
A Suitable Girl,2017,90,Documentary,6.9,337,Sarita Khurana,Smriti Mundhra,Sima Taparia,,0.8,2
A Thin Line,2019,104,Drama,7.9,24,Vierendrra Lalit,Trivikram Mattoo,Rahul Roy,Akansha Shivhare,0.56,0.01
Aa Dekhen Zara,2009,117,"Action, Sci-Fi, Thriller",5,866,Jehangir Surti,Neil Nitin Mukesh,Bipasha Basu,Sophiya Chaudhary,17,84
Aa Gale Lag Jaa,1973,148,"Action, Drama, Romance",7.2,348,Manmohan Desai,Shashi Kapoor,Sharmila Tagore,Shatrughan Sinha,1.6,5.82
