Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3,Movie Budget,Revenue
83,2021,165,Sport/Drama,7.4,"27,958",Kabir Khan,Ranveer Singh,Deepika Padukone,Hardy Sandhu,2800000000,1937300000
#Homecoming,2021,90,Drama/ Musical,7.6,335,Soumyajit Majumdar,Sayani Gupta,Plabita Borthakur,Roy Angana,560000000,1230000000
102 Not Out,2018,102,Comedy/Dram,7.4,"7,112",Umesh Shukla,Amitabh Bachchan,Rishi Kapoor,Jimit Trivedi,350000000,1150000000
12 Bulbule,2021,,Comedy/ Drama/ Family,8.9,3659,Jagat Joon,Sonu Sonkar,Sunita Verman,Anubhav Dixit,30000000,60000000
13 Tribute of Love,2020,66,Drama,5,352,Rahul Tiwari,Rahul Tiwari Adhiyari,Anil Arora,Asima Bhatt,3000000,15000000
1942: A Love Story,1994,157,Action/ Drama/ History,7.2,3223,Vidhu Vinod Chopra,Anil Kapoor,Jackie Shroff,Manisha Koirala,47500000,34900000
1978: A Teen Night Out,2019,107,Thriller,4,20,Aziz Zee,Abuzar Akhtar,Apurva Godbole,Vaishnavi Kadam,8000000,200000
2 states,2014,149,Romance/ Comedy,6.9,906,Abhishek verman,Arjun Kapoor,Alia Bhatt,amrita singh,320000000,1750000000
3 Idiots,2009,170,Comedy/ Drama,8.4,"3,57,889",Rajkumar Hirani,Aamir Khan,Madhavan,Mona Singh,550000000,4000000000
7 Hours to Go,2016,115,Crime/ Thriller,5.7,398,Saurabh Varma,Sandeepa Dhar,Natasa Stankovic,Shiv Panditt,10000000,5400000
7 Islands and a Metro,2006,100,Documentary,6.2,10,Dutta Madhusree,Harish Khanna,Vibha Chhibber,Om Prakash,25000000,39000000
7 Khoon Maaf,2011,137,Drama/ Mystery/ Thriller,6.1,5640,Vishal Bhardwaj,Vivaan Shah,Priyanka Chopra Jonas,Neil Nitin Mukesh,150000000,330000000
7 Saal Baad,1987,127,Drama/ Horror/ Musical,4.1,34,S.U. Syed,Suresh Oberoi,Sharmila Tagore,Navin Nischol,12800000,23000000
A death in the gunj,2016,110,Drama/ Thriller,7.4,694,Konkona sen sharma,Vikrant Massey,Tilotama shome,Ranvir shorey,100000000,140000000
A Rifle and a Bag,2020,89,Documentary,6.8,15,Cristina Hanes,Isabella Rinaldi,Arya Rothe,,45000000,38000000
A Scandall,2016,112,Thriller,3.1,142,Ishaan Trivedi,Johnny Baweja,Reeth Mazumder-Roberts,Manav Kaul,30000000,1200000
A Suitable Girl,2017,90,Documentary,6.9,337,Sarita Khurana,Smriti Mundhra,Sima Taparia,,8000000,20000000
A Thin Line,2019,104,Drama,7.9,24,Vierendrra Lalit,Trivikram Mattoo,Rahul Roy,Akansha Shivhare,5600000,100000
A Wednesday,2008,104,Action/Crime/Drama,8.1,"77,908",Neeraj Pandey,Anupam Kher,Naseerunddin Shah,Virendra Saxena,30000000,160000000
Aa Dekhen Zara,2009,117,Action/ Sci-Fi/ Thriller,5,866,Jehangir Surti,Neil Nitin Mukesh,Bipasha Basu,Sophiya Chaudhary,170000000,840000000
Aa Gale Lag Jaa,1973,148,Action/ Drama/ Romance,7.2,348,Manmohan Desai,Shatrughan Sinha,Sharmila Tagore,Shashi Kapoor,16000000,58200000
Aa Gale Lag Jaa,1994,158,Mystery/ Romance,4.4,115,Hamid Ali Khan,Paresh Rawal,Urmila Matondkar,Jugal Hansraj,23000000,89000000
Aa Gaya Hero,2017,123,Action,2.7,339,Dipankar Senapati,Govinda,Richa Sharma,Poonam Pandey,85000000,13900000
Aa Jao Please,2016,120,Drama,6.8,16,Azad Jain,Dipak Khetiya,Ganraj Jadhav,Neha Chauhan,20000000,56000000
Aabra Ka Daabra,2004,144,Fantasy,2.4,264,Dheeraj Kumar,Prabhu Deva,Naveen Bawa,Satish Kaushik,80000000,16000000
Aadamkhor,2018,72,Horror,7.4,150,Kshitij Sharma,Deeya Dey,Anoma Pabuwal,Mahendra Singh Rawat,4000000,10000000
Aalwar,2007,152,Action,3,922,Chella,Ajith Kumar,Asin Thottumkal,Vivek,3000000,9500000
Aamaar Bhuvan,2018,107,Drama/ Family,7.7,72,Mrinal Sen,Koushik Sen,Nandita Das,Saswata Chatterjee,120000000,230000000
Aamdani Atthanni Kharcha Rupaiya,2001,150,Comedy/ Drama/ Family,4.8,1238,K. Raghavendra Rao,Govinda,A.S. Ravindra Babu,Juhi Chawla,50000000,105400000
Aamir,2008,99,Action/ Crime/ Drama,7.7,10862,Raj Kumar Gupta,Rajeev Khandelwal,Aishwarya,Vasan Bala,180000000,60000000
